"","fips_code","collection_week","previous_day_admission_adult_covid_confirmed_7_day_sum","previous_day_admission_pediatric_covid_confirmed_7_day_sum","previous_day_covid_ED_visits_7_day_sum","previous_day_admission_adult_covid_suspected_7_day_sum","previous_day_admission_pediatric_covid_suspected_7_day_sum"
"454",8101,"2020-11-27",119,0,212,128,0
"455",8101,"2020-12-04",87,0,283,95,0
"456",8103,"2020-11-20",4,0,4,0,0
"457",8103,"2020-11-27",5,0,5,0,0
"458",8103,"2020-12-04",4,0,9,0,0
"459",8105,"2020-11-20",0,0,5,0,0
"460",8105,"2020-11-27",0,0,7,0,0
"461",8105,"2020-12-04",0,0,8,0,0
"462",8115,"2020-11-20",0,0,0,0,0
"463",8123,"2020-11-27",58,0,201,32,5
"464",8123,"2020-12-04",19,0,77,5,0
"465",8125,"2020-11-27",4,0,0,0,0
"466",9001,"2020-11-20",183,0,381,48,0
"467",9001,"2020-11-27",147,0,229,22,0
"468",9001,"2020-12-04",89,0,216,47,0
"469",9003,"2020-11-20",145,0,1563,256,0
"470",9003,"2020-11-27",171,12,1637,260,5
"471",9003,"2020-12-04",198,0,1510,266,0
"472",9005,"2020-11-20",13,0,168,39,0
"473",9005,"2020-11-27",19,0,188,58,0
"474",9005,"2020-12-04",25,0,182,37,0
"475",9007,"2020-11-20",26,0,117,92,0
"476",9007,"2020-11-27",27,0,121,100,0
"477",9007,"2020-12-04",23,0,75,61,0
"478",9009,"2020-11-20",204,6,354,72,5
"479",9009,"2020-11-27",316,4,505,81,6
"480",9009,"2020-12-04",142,0,293,45,0
"481",9011,"2020-11-20",13,0,190,44,0
"482",9011,"2020-11-27",15,0,213,37,0
"483",9011,"2020-12-04",56,0,215,51,0
"484",9013,"2020-11-20",6,0,52,13,0
"485",9013,"2020-11-27",5,0,82,8,0
"486",9013,"2020-12-04",14,0,64,5,0
"487",9015,"2020-11-20",8,0,80,13,0
"488",9015,"2020-11-27",9,0,87,16,0
"489",9015,"2020-12-04",18,0,164,11,0
"490",10001,"2020-11-20",26,26,33,6,7
"491",10001,"2020-11-27",53,44,62,12,14
"492",10001,"2020-12-04",74,57,79,7,10
"493",10003,"2020-11-20",90,0,335,7,0
"494",10003,"2020-12-04",21,0,161,0,0
"495",10005,"2020-11-20",13,0,93,0,0
"496",10005,"2020-11-27",17,17,32,6,6
"497",10005,"2020-12-04",40,17,142,7,9
"498",11001,"2020-11-20",94,6,1638,456,58
"499",11001,"2020-11-27",110,0,710,285,5
"500",11001,"2020-12-04",120,0,915,312,10
"501",12001,"2020-11-20",74,0,141,14,0
"502",12001,"2020-11-27",110,7,169,7,7
"503",12001,"2020-12-04",113,9,189,9,9
"504",12003,"2020-12-04",6,0,55,0,0
"505",12005,"2020-11-20",11,0,166,0,0
"506",12005,"2020-11-27",15,0,148,0,0
"507",12005,"2020-12-04",56,0,255,11,0
"508",12009,"2020-11-20",18,0,61,9,0
"509",12009,"2020-11-27",47,0,160,16,0
"510",12009,"2020-12-04",54,0,163,0,5
"511",12011,"2020-11-20",240,0,1729,44,0
"512",12011,"2020-11-27",251,0,1653,44,0
"513",12011,"2020-12-04",279,0,1676,54,0
"514",12013,"2020-11-20",0,0,21,0,0
"515",12015,"2020-11-20",37,0,192,32,0
"516",12015,"2020-11-27",45,0,250,41,0
"517",12015,"2020-12-04",65,0,225,53,0
"518",12017,"2020-11-20",41,0,445,17,0
"519",12017,"2020-11-27",44,0,369,18,0
"520",12017,"2020-12-04",18,0,92,9,0
"521",12019,"2020-11-20",30,0,328,8,0
"522",12019,"2020-11-27",4,0,139,0,0
"523",12019,"2020-12-04",14,0,143,0,0
"524",12021,"2020-11-20",79,0,738,0,0
"525",12021,"2020-11-27",35,0,113,0,0
"526",12021,"2020-12-04",26,0,110,0,0
"527",12023,"2020-11-20",17,0,146,10,0
"528",12023,"2020-11-27",24,0,176,9,0
"529",12023,"2020-12-04",16,0,169,7,0
"530",12027,"2020-11-20",12,0,86,11,0
"531",12027,"2020-11-27",5,0,79,8,0
"532",12027,"2020-12-04",7,0,78,9,0
"533",12031,"2020-11-20",136,0,645,99,0
